"Step","S4ClassicModel dplr+LN[] - train acc","S4ClassicModel dplr+LN[] - train acc__MIN","S4ClassicModel dplr+LN[] - train acc__MAX","S4ClassicModel diag+LN[] - train acc","S4ClassicModel diag+LN[] - train acc__MIN","S4ClassicModel diag+LN[] - train acc__MAX","MambaModel diag - train acc","MambaModel diag - train acc__MIN","MambaModel diag - train acc__MAX","MambaModel dplr - train acc","MambaModel dplr - train acc__MIN","MambaModel dplr - train acc__MAX","MambaModel s6 - train acc","MambaModel s6 - train acc__MIN","MambaModel s6 - train acc__MAX"
"0","0.23420000000000002","0.23420000000000002","0.23420000000000002","0.2561555555555556","0.2561555555555556","0.2561555555555556","0.3662666666666667","0.3662666666666667","0.3662666666666667","0.3473777777777778","0.3473777777777778","0.3473777777777778","0.31675555555555557","0.31675555555555557","0.31675555555555557"
"1","0.3748444444444445","0.3748444444444445","0.3748444444444445","0.39384444444444444","0.39384444444444444","0.39384444444444444","0.47833333333333333","0.47833333333333333","0.47833333333333333","0.4632888888888889","0.4632888888888889","0.4632888888888889","0.4402888888888889","0.4402888888888889","0.4402888888888889"
"2","0.46195555555555556","0.46195555555555556","0.46195555555555556","0.46273333333333333","0.46273333333333333","0.46273333333333333","0.5272","0.5272","0.5272","0.5076666666666667","0.5076666666666667","0.5076666666666667","0.49260000000000004","0.49260000000000004","0.49260000000000004"
"3","0.5193333333333333","0.5193333333333333","0.5193333333333333","0.5133555555555556","0.5133555555555556","0.5133555555555556","0.5609555555555555","0.5609555555555555","0.5609555555555555","0.5352888888888889","0.5352888888888889","0.5352888888888889","0.5291777777777779","0.5291777777777779","0.5291777777777779"
"4","0.5593777777777778","0.5593777777777778","0.5593777777777778","0.5503333333333333","0.5503333333333333","0.5503333333333333","0.5876222222222223","0.5876222222222223","0.5876222222222223","0.5621111111111111","0.5621111111111111","0.5621111111111111","0.5563111111111111","0.5563111111111111","0.5563111111111111"
"5","0.5878444444444445","0.5878444444444445","0.5878444444444445","0.5753555555555556","0.5753555555555556","0.5753555555555556","0.6079555555555556","0.6079555555555556","0.6079555555555556","0.5778666666666666","0.5778666666666666","0.5778666666666666","0.5750000000000001","0.5750000000000001","0.5750000000000001"
"6","0.6102666666666667","0.6102666666666667","0.6102666666666667","0.6011111111111112","0.6011111111111112","0.6011111111111112","0.6238444444444444","0.6238444444444444","0.6238444444444444","0.5938","0.5938","0.5938","0.5912666666666667","0.5912666666666667","0.5912666666666667"
"7","0.6312","0.6312","0.6312","0.6214888888888889","0.6214888888888889","0.6214888888888889","0.6391555555555556","0.6391555555555556","0.6391555555555556","0.6035111111111111","0.6035111111111111","0.6035111111111111","0.5992222222222222","0.5992222222222222","0.5992222222222222"
"8","0.6488222222222223","0.6488222222222223","0.6488222222222223","0.6378666666666667","0.6378666666666667","0.6378666666666667","0.6547111111111111","0.6547111111111111","0.6547111111111111","0.6186666666666667","0.6186666666666667","0.6186666666666667","0.614688888888889","0.614688888888889","0.614688888888889"
"9","0.6616666666666667","0.6616666666666667","0.6616666666666667","0.6468","0.6468","0.6468","0.6636444444444445","0.6636444444444445","0.6636444444444445","0.6285555555555555","0.6285555555555555","0.6285555555555555","0.6279333333333333","0.6279333333333333","0.6279333333333333"
"10","0.6732888888888889","0.6732888888888889","0.6732888888888889","0.6618222222222222","0.6618222222222222","0.6618222222222222","0.6746666666666667","0.6746666666666667","0.6746666666666667","0.6412","0.6412","0.6412","0.6345333333333334","0.6345333333333334","0.6345333333333334"
"11","0.6903333333333334","0.6903333333333334","0.6903333333333334","0.6723111111111112","0.6723111111111112","0.6723111111111112","0.6828000000000001","0.6828000000000001","0.6828000000000001","0.6488","0.6488","0.6488","0.6448666666666667","0.6448666666666667","0.6448666666666667"
"12","0.6992","0.6992","0.6992","0.6838222222222222","0.6838222222222222","0.6838222222222222","0.6931555555555556","0.6931555555555556","0.6931555555555556","0.6570444444444444","0.6570444444444444","0.6570444444444444","0.6485555555555556","0.6485555555555556","0.6485555555555556"
"13","0.7060000000000001","0.7060000000000001","0.7060000000000001","0.6930000000000001","0.6930000000000001","0.6930000000000001","0.6993555555555556","0.6993555555555556","0.6993555555555556","0.6629777777777778","0.6629777777777778","0.6629777777777778","0.6582888888888889","0.6582888888888889","0.6582888888888889"
"14","0.7163111111111111","0.7163111111111111","0.7163111111111111","0.6994666666666667","0.6994666666666667","0.6994666666666667","0.7072222222222223","0.7072222222222223","0.7072222222222223","0.6715111111111112","0.6715111111111112","0.6715111111111112","0.6642666666666667","0.6642666666666667","0.6642666666666667"
"15","0.7221555555555556","0.7221555555555556","0.7221555555555556","0.709288888888889","0.709288888888889","0.709288888888889","0.7137777777777778","0.7137777777777778","0.7137777777777778","0.6771333333333334","0.6771333333333334","0.6771333333333334","0.6697333333333334","0.6697333333333334","0.6697333333333334"
"16","0.7325333333333334","0.7325333333333334","0.7325333333333334","0.7148","0.7148","0.7148","0.7211333333333334","0.7211333333333334","0.7211333333333334","0.6839555555555555","0.6839555555555555","0.6839555555555555","0.6758888888888889","0.6758888888888889","0.6758888888888889"
"17","0.7404000000000001","0.7404000000000001","0.7404000000000001","0.7225555555555556","0.7225555555555556","0.7225555555555556","0.7275555555555556","0.7275555555555556","0.7275555555555556","0.6909333333333334","0.6909333333333334","0.6909333333333334","0.679088888888889","0.679088888888889","0.679088888888889"
"18","0.7452444444444445","0.7452444444444445","0.7452444444444445","0.7287111111111112","0.7287111111111112","0.7287111111111112","0.7318222222222223","0.7318222222222223","0.7318222222222223","0.6988888888888889","0.6988888888888889","0.6988888888888889","0.689088888888889","0.689088888888889","0.689088888888889"
"19","0.7506444444444444","0.7506444444444444","0.7506444444444444","0.7336222222222223","0.7336222222222223","0.7336222222222223","0.738488888888889","0.738488888888889","0.738488888888889","0.7072444444444445","0.7072444444444445","0.7072444444444445","0.6926","0.6926","0.6926"
"20","0.7568888888888889","0.7568888888888889","0.7568888888888889","0.7382666666666667","0.7382666666666667","0.7382666666666667","0.7443111111111111","0.7443111111111111","0.7443111111111111","0.708488888888889","0.708488888888889","0.708488888888889","0.6975111111111112","0.6975111111111112","0.6975111111111112"
"21","0.7635555555555555","0.7635555555555555","0.7635555555555555","0.7479555555555556","0.7479555555555556","0.7479555555555556","0.7505333333333334","0.7505333333333334","0.7505333333333334","0.712488888888889","0.712488888888889","0.712488888888889","0.7029111111111112","0.7029111111111112","0.7029111111111112"
"22","0.7681555555555556","0.7681555555555556","0.7681555555555556","0.7517777777777778","0.7517777777777778","0.7517777777777778","0.753","0.753","0.753","0.7187777777777778","0.7187777777777778","0.7187777777777778","0.7080666666666667","0.7080666666666667","0.7080666666666667"
"23","0.775","0.775","0.775","0.754688888888889","0.754688888888889","0.754688888888889","0.7600222222222223","0.7600222222222223","0.7600222222222223","0.7259777777777778","0.7259777777777778","0.7259777777777778","0.7086","0.7086","0.7086"
"24","0.7800222222222223","0.7800222222222223","0.7800222222222223","0.7573555555555556","0.7573555555555556","0.7573555555555556","0.766","0.766","0.766","0.7284666666666667","0.7284666666666667","0.7284666666666667","0.7179333333333333","0.7179333333333333","0.7179333333333333"
"25","0.7814888888888889","0.7814888888888889","0.7814888888888889","0.7634000000000001","0.7634000000000001","0.7634000000000001","0.7692444444444445","0.7692444444444445","0.7692444444444445","0.733","0.733","0.733","0.7220444444444445","0.7220444444444445","0.7220444444444445"
"26","0.7867333333333334","0.7867333333333334","0.7867333333333334","0.7702222222222223","0.7702222222222223","0.7702222222222223","0.7736666666666667","0.7736666666666667","0.7736666666666667","0.7378888888888889","0.7378888888888889","0.7378888888888889","0.7261777777777778","0.7261777777777778","0.7261777777777778"
"27","0.7898444444444445","0.7898444444444445","0.7898444444444445","0.772","0.772","0.772","0.7773555555555556","0.7773555555555556","0.7773555555555556","0.7432444444444445","0.7432444444444445","0.7432444444444445","0.7318888888888889","0.7318888888888889","0.7318888888888889"
