"Step","S4ClassicModel dplr+LN[] - test acc","S4ClassicModel dplr+LN[] - test acc__MIN","S4ClassicModel dplr+LN[] - test acc__MAX","S4ClassicModel diag+LN[] - test acc","S4ClassicModel diag+LN[] - test acc__MIN","S4ClassicModel diag+LN[] - test acc__MAX","MambaModel diag - test acc","MambaModel diag - test acc__MIN","MambaModel diag - test acc__MAX","MambaModel dplr - test acc","MambaModel dplr - test acc__MIN","MambaModel dplr - test acc__MAX","MambaModel s6 - test acc","MambaModel s6 - test acc__MIN","MambaModel s6 - test acc__MAX"
"0","0.5272","0.5272","0.5272","0.5328","0.5328","0.5328","0.5454","0.5454","0.5454","0.544","0.544","0.544","0.4692","0.4692","0.4692"
"1","0.6344000000000001","0.6344000000000001","0.6344000000000001","0.6206","0.6206","0.6206","0.6232","0.6232","0.6232","0.613","0.613","0.613","0.56","0.56","0.56"
"2","0.661","0.661","0.661","0.6646000000000001","0.6646000000000001","0.6646000000000001","0.6368","0.6368","0.6368","0.624","0.624","0.624","0.6116","0.6116","0.6116"
"3","0.7056","0.7056","0.7056","0.6960000000000001","0.6960000000000001","0.6960000000000001","0.6608","0.6608","0.6608","0.6498","0.6498","0.6498","0.6268","0.6268","0.6268"
"4","0.7140000000000001","0.7140000000000001","0.7140000000000001","0.7174","0.7174","0.7174","0.7038","0.7038","0.7038","0.6818000000000001","0.6818000000000001","0.6818000000000001","0.666","0.666","0.666"
"5","0.7378","0.7378","0.7378","0.7368","0.7368","0.7368","0.7078","0.7078","0.7078","0.6946","0.6946","0.6946","0.6862","0.6862","0.6862"
"6","0.7424000000000001","0.7424000000000001","0.7424000000000001","0.7392000000000001","0.7392000000000001","0.7392000000000001","0.7386","0.7386","0.7386","0.6970000000000001","0.6970000000000001","0.6970000000000001","0.6948000000000001","0.6948000000000001","0.6948000000000001"
"7","0.7508","0.7508","0.7508","0.7468","0.7468","0.7468","0.7398","0.7398","0.7398","0.7098","0.7098","0.7098","0.7056","0.7056","0.7056"
"8","0.7718","0.7718","0.7718","0.7628","0.7628","0.7628","0.744","0.744","0.744","0.7254","0.7254","0.7254","0.7112","0.7112","0.7112"
"9","0.7776000000000001","0.7776000000000001","0.7776000000000001","0.7642","0.7642","0.7642","0.7628","0.7628","0.7628","0.7254","0.7254","0.7254","0.7240000000000001","0.7240000000000001","0.7240000000000001"
"10","0.7774000000000001","0.7774000000000001","0.7774000000000001","0.7678","0.7678","0.7678","0.7686000000000001","0.7686000000000001","0.7686000000000001","0.7306","0.7306","0.7306","0.7188","0.7188","0.7188"
"11","0.7858","0.7858","0.7858","0.7792","0.7792","0.7792","0.7662","0.7662","0.7662","0.7446","0.7446","0.7446","0.731","0.731","0.731"
"12","0.7938000000000001","0.7938000000000001","0.7938000000000001","0.781","0.781","0.781","0.7566","0.7566","0.7566","0.7556","0.7556","0.7556","0.7354","0.7354","0.7354"
"13","0.7928000000000001","0.7928000000000001","0.7928000000000001","0.7854","0.7854","0.7854","0.7768","0.7768","0.7768","0.7456","0.7456","0.7456","0.7482000000000001","0.7482000000000001","0.7482000000000001"
"14","0.8076","0.8076","0.8076","0.8018000000000001","0.8018000000000001","0.8018000000000001","0.7744000000000001","0.7744000000000001","0.7744000000000001","0.7524000000000001","0.7524000000000001","0.7524000000000001","0.7374","0.7374","0.7374"
"15","0.8034","0.8034","0.8034","0.795","0.795","0.795","0.797","0.797","0.797","0.776","0.776","0.776","0.7376","0.7376","0.7376"
"16","0.803","0.803","0.803","0.7974","0.7974","0.7974","0.777","0.777","0.777","0.7654000000000001","0.7654000000000001","0.7654000000000001","0.746","0.746","0.746"
"17","0.8186","0.8186","0.8186","0.7962","0.7962","0.7962","0.7988000000000001","0.7988000000000001","0.7988000000000001","0.7758","0.7758","0.7758","0.7526","0.7526","0.7526"
"18","0.8098000000000001","0.8098000000000001","0.8098000000000001","0.781","0.781","0.781","0.7992","0.7992","0.7992","0.7778","0.7778","0.7778","0.758","0.758","0.758"
"19","0.8272","0.8272","0.8272","0.7924","0.7924","0.7924","0.793","0.793","0.793","0.7612","0.7612","0.7612","0.7616","0.7616","0.7616"
"20","0.8228000000000001","0.8228000000000001","0.8228000000000001","0.7984","0.7984","0.7984","0.8076","0.8076","0.8076","0.7724000000000001","0.7724000000000001","0.7724000000000001","0.7638","0.7638","0.7638"
"21","0.8296","0.8296","0.8296","0.8018000000000001","0.8018000000000001","0.8018000000000001","0.8168000000000001","0.8168000000000001","0.8168000000000001","0.7786000000000001","0.7786000000000001","0.7786000000000001","0.7704000000000001","0.7704000000000001","0.7704000000000001"
"22","0.8268000000000001","0.8268000000000001","0.8268000000000001","0.8076","0.8076","0.8076","0.811","0.811","0.811","0.7894","0.7894","0.7894","0.7738","0.7738","0.7738"
"23","0.8298000000000001","0.8298000000000001","0.8298000000000001","0.8088000000000001","0.8088000000000001","0.8088000000000001","0.8136","0.8136","0.8136","0.7822","0.7822","0.7822","0.7692","0.7692","0.7692"
"24","0.8238000000000001","0.8238000000000001","0.8238000000000001","0.8114","0.8114","0.8114","0.8172","0.8172","0.8172","0.7896000000000001","0.7896000000000001","0.7896000000000001","0.7728","0.7728","0.7728"
"25","0.8280000000000001","0.8280000000000001","0.8280000000000001","0.805","0.805","0.805","0.8154","0.8154","0.8154","0.7972","0.7972","0.7972","0.77","0.77","0.77"
