"Step","S4ClassicModel dplr+LN[] - test acc","S4ClassicModel dplr+LN[] - test acc__MIN","S4ClassicModel dplr+LN[] - test acc__MAX","S4ClassicModel diag+LN[] - test acc","S4ClassicModel diag+LN[] - test acc__MIN","S4ClassicModel diag+LN[] - test acc__MAX","MambaModel diag - test acc","MambaModel diag - test acc__MIN","MambaModel diag - test acc__MAX","MambaModel dplr - test acc","MambaModel dplr - test acc__MIN","MambaModel dplr - test acc__MAX","MambaModel s6 - test acc","MambaModel s6 - test acc__MIN","MambaModel s6 - test acc__MAX"
"0","0.3332","0.3332","0.3332","0.371","0.371","0.371","0.46680000000000005","0.46680000000000005","0.46680000000000005","0.45520000000000005","0.45520000000000005","0.45520000000000005","0.4194","0.4194","0.4194"
"1","0.4698","0.4698","0.4698","0.46680000000000005","0.46680000000000005","0.46680000000000005","0.5446","0.5446","0.5446","0.5082","0.5082","0.5082","0.5054000000000001","0.5054000000000001","0.5054000000000001"
"2","0.5314","0.5314","0.5314","0.5132","0.5132","0.5132","0.5872","0.5872","0.5872","0.534","0.534","0.534","0.532","0.532","0.532"
"3","0.5562","0.5562","0.5562","0.5454","0.5454","0.5454","0.5984","0.5984","0.5984","0.5738","0.5738","0.5738","0.5676","0.5676","0.5676"
"4","0.6062000000000001","0.6062000000000001","0.6062000000000001","0.5904","0.5904","0.5904","0.623","0.623","0.623","0.5910000000000001","0.5910000000000001","0.5910000000000001","0.5764","0.5764","0.5764"
"5","0.624","0.624","0.624","0.6004","0.6004","0.6004","0.6332","0.6332","0.6332","0.6106","0.6106","0.6106","0.5898","0.5898","0.5898"
"6","0.64","0.64","0.64","0.628","0.628","0.628","0.6584","0.6584","0.6584","0.605","0.605","0.605","0.5760000000000001","0.5760000000000001","0.5760000000000001"
"7","0.6426000000000001","0.6426000000000001","0.6426000000000001","0.6346","0.6346","0.6346","0.66","0.66","0.66","0.6322","0.6322","0.6322","0.5932000000000001","0.5932000000000001","0.5932000000000001"
"8","0.6476000000000001","0.6476000000000001","0.6476000000000001","0.6528","0.6528","0.6528","0.6662","0.6662","0.6662","0.6152000000000001","0.6152000000000001","0.6152000000000001","0.6076","0.6076","0.6076"
"9","0.663","0.663","0.663","0.6652","0.6652","0.6652","0.672","0.672","0.672","0.6444000000000001","0.6444000000000001","0.6444000000000001","0.633","0.633","0.633"
