"Step","S4ClassicModel dplr+LN[] - test acc","S4ClassicModel dplr+LN[] - test acc__MIN","S4ClassicModel dplr+LN[] - test acc__MAX","S4ClassicModel diag+LN[] - test acc","S4ClassicModel diag+LN[] - test acc__MIN","S4ClassicModel diag+LN[] - test acc__MAX","MambaModel diag - test acc","MambaModel diag - test acc__MIN","MambaModel diag - test acc__MAX","MambaModel dplr - test acc","MambaModel dplr - test acc__MIN","MambaModel dplr - test acc__MAX","MambaModel s6 - test acc","MambaModel s6 - test acc__MIN","MambaModel s6 - test acc__MAX"
"0","0.51624","0.51624","0.51624","0.5","0.5","0.5","0.6728400000000001","0.6728400000000001","0.6728400000000001","0.7108800000000001","0.7108800000000001","0.7108800000000001","0.7759600000000001","0.7759600000000001","0.7759600000000001"
"1","0.5770000000000001","0.5770000000000001","0.5770000000000001","0.52912","0.52912","0.52912","0.7675200000000001","0.7675200000000001","0.7675200000000001","0.8201600000000001","0.8201600000000001","0.8201600000000001","0.84828","0.84828","0.84828"
"2","0.5282","0.5282","0.5282","0.5802400000000001","0.5802400000000001","0.5802400000000001","0.7626400000000001","0.7626400000000001","0.7626400000000001","0.8416800000000001","0.8416800000000001","0.8416800000000001","0.8696800000000001","0.8696800000000001","0.8696800000000001"
"3","0.61724","0.61724","0.61724","0.6243200000000001","0.6243200000000001","0.6243200000000001","0.8309200000000001","0.8309200000000001","0.8309200000000001","0.8684400000000001","0.8684400000000001","0.8684400000000001","0.8751200000000001","0.8751200000000001","0.8751200000000001"
"4","0.6228","0.6228","0.6228","0.5680000000000001","0.5680000000000001","0.5680000000000001","0.8466","0.8466","0.8466","0.8392000000000001","0.8392000000000001","0.8392000000000001","0.8760000000000001","0.8760000000000001","0.8760000000000001"
"5","0.627","0.627","0.627","0.6578400000000001","0.6578400000000001","0.6578400000000001","0.8672000000000001","0.8672000000000001","0.8672000000000001","0.8616","0.8616","0.8616","0.8867200000000001","0.8867200000000001","0.8867200000000001"
"6","0.64188","0.64188","0.64188","0.6763600000000001","0.6763600000000001","0.6763600000000001","0.8705600000000001","0.8705600000000001","0.8705600000000001","0.88824","0.88824","0.88824","0.8926000000000001","0.8926000000000001","0.8926000000000001"
"7","0.6630400000000001","0.6630400000000001","0.6630400000000001","0.6752800000000001","0.6752800000000001","0.6752800000000001","0.88024","0.88024","0.88024","0.8892000000000001","0.8892000000000001","0.8892000000000001","0.8867200000000001","0.8867200000000001","0.8867200000000001"
"8","0.67052","0.67052","0.67052","0.7064800000000001","0.7064800000000001","0.7064800000000001","0.8826400000000001","0.8826400000000001","0.8826400000000001","0.8936400000000001","0.8936400000000001","0.8936400000000001","0.89348","0.89348","0.89348"
"9","0.67544","0.67544","0.67544","0.6994","0.6994","0.6994","0.8797600000000001","0.8797600000000001","0.8797600000000001","0.8912000000000001","0.8912000000000001","0.8912000000000001","0.8862000000000001","0.8862000000000001","0.8862000000000001"
"10","0.6861200000000001","0.6861200000000001","0.6861200000000001","0.68196","0.68196","0.68196","0.8560800000000001","0.8560800000000001","0.8560800000000001","0.8856","0.8856","0.8856","0.8942800000000001","0.8942800000000001","0.8942800000000001"
"11","0.686","0.686","0.686","0.7458800000000001","0.7458800000000001","0.7458800000000001","0.88116","0.88116","0.88116","0.8957200000000001","0.8957200000000001","0.8957200000000001","0.8971600000000001","0.8971600000000001","0.8971600000000001"
"12","0.73072","0.73072","0.73072","0.73504","0.73504","0.73504","0.8574400000000001","0.8574400000000001","0.8574400000000001","0.8959600000000001","0.8959600000000001","0.8959600000000001","0.8897200000000001","0.8897200000000001","0.8897200000000001"
"13","0.72116","0.72116","0.72116","0.76604","0.76604","0.76604","0.8680800000000001","0.8680800000000001","0.8680800000000001","0.8976000000000001","0.8976000000000001","0.8976000000000001","0.8898800000000001","0.8898800000000001","0.8898800000000001"
"14","0.7506400000000001","0.7506400000000001","0.7506400000000001","0.7314400000000001","0.7314400000000001","0.7314400000000001","0.8765200000000001","0.8765200000000001","0.8765200000000001","0.8854400000000001","0.8854400000000001","0.8854400000000001","0.89156","0.89156","0.89156"
"15","0.7536400000000001","0.7536400000000001","0.7536400000000001","0.74084","0.74084","0.74084","0.8838400000000001","0.8838400000000001","0.8838400000000001","0.8973200000000001","0.8973200000000001","0.8973200000000001","0.89492","0.89492","0.89492"
"16","0.7192000000000001","0.7192000000000001","0.7192000000000001","0.7308","0.7308","0.7308","0.8886000000000001","0.8886000000000001","0.8886000000000001","0.8982800000000001","0.8982800000000001","0.8982800000000001","0.8953200000000001","0.8953200000000001","0.8953200000000001"
"17","0.77544","0.77544","0.77544","0.6964800000000001","0.6964800000000001","0.6964800000000001","0.8859600000000001","0.8859600000000001","0.8859600000000001","0.89956","0.89956","0.89956","0.8929600000000001","0.8929600000000001","0.8929600000000001"
"18","0.7480000000000001","0.7480000000000001","0.7480000000000001","0.6942","0.6942","0.6942","0.8747600000000001","0.8747600000000001","0.8747600000000001","0.9007600000000001","0.9007600000000001","0.9007600000000001","0.8938","0.8938","0.8938"
"19","0.7908400000000001","0.7908400000000001","0.7908400000000001","0.7275200000000001","0.7275200000000001","0.7275200000000001","0.8899600000000001","0.8899600000000001","0.8899600000000001","0.9026000000000001","0.9026000000000001","0.9026000000000001","0.8918800000000001","0.8918800000000001","0.8918800000000001"
"20","0.78332","0.78332","0.78332","0.7328800000000001","0.7328800000000001","0.7328800000000001","0.8910000000000001","0.8910000000000001","0.8910000000000001","0.90144","0.90144","0.90144","0.89592","0.89592","0.89592"
"21","0.7959600000000001","0.7959600000000001","0.7959600000000001","0.75812","0.75812","0.75812","0.8912000000000001","0.8912000000000001","0.8912000000000001","0.8988","0.8988","0.8988","0.89536","0.89536","0.89536"
"22","0.7942400000000001","0.7942400000000001","0.7942400000000001","0.7474000000000001","0.7474000000000001","0.7474000000000001","0.8820000000000001","0.8820000000000001","0.8820000000000001","0.8977600000000001","0.8977600000000001","0.8977600000000001","0.8928800000000001","0.8928800000000001","0.8928800000000001"
"23","0.7970400000000001","0.7970400000000001","0.7970400000000001","0.78136","0.78136","0.78136","0.89268","0.89268","0.89268","0.8984400000000001","0.8984400000000001","0.8984400000000001","0.8955200000000001","0.8955200000000001","0.8955200000000001"
