"Step","S4ClassicModel diag+LN[] - test acc","S4ClassicModel diag+LN[] - test acc__MIN","S4ClassicModel diag+LN[] - test acc__MAX","MambaModel dplr - test acc","MambaModel dplr - test acc__MIN","MambaModel dplr - test acc__MAX","MambaModel diag - test acc","MambaModel diag - test acc__MIN","MambaModel diag - test acc__MAX","S4ClassicModel dplr - test acc","S4ClassicModel dplr - test acc__MIN","S4ClassicModel dplr - test acc__MAX","MambaModel s6 - test acc","MambaModel s6 - test acc__MIN","MambaModel s6 - test acc__MAX"
"0","0.49897494874743736","0.49897494874743736","0.49897494874743736","0.49897494874743736","0.49897494874743736","0.49897494874743736","0.49997499874993745","0.49997499874993745","0.49997499874993745","0.5010250512525626","0.5010250512525626","0.5010250512525626","0.4948247412370618","0.4948247412370618","0.4948247412370618"
"1","0.5010250512525626","0.5010250512525626","0.5010250512525626","0.6199309965498274","0.6199309965498274","0.6199309965498274","0.5011250562528127","0.5011250562528127","0.5011250562528127","0.5010250512525626","0.5010250512525626","0.5010250512525626","0.49897494874743736","0.49897494874743736","0.49897494874743736"
"2","0.49897494874743736","0.49897494874743736","0.49897494874743736","0.6660333016650832","0.6660333016650832","0.6660333016650832","0.49897494874743736","0.49897494874743736","0.49897494874743736","0.49897494874743736","0.49897494874743736","0.49897494874743736","0.495774788739437","0.495774788739437","0.495774788739437"
"3","0.49897494874743736","0.49897494874743736","0.49897494874743736","0.6920846042302115","0.6920846042302115","0.6920846042302115","0.5028751437571879","0.5028751437571879","0.5028751437571879","0.49902495124756235","0.49902495124756235","0.49902495124756235","0.49402470123506176","0.49402470123506176","0.49402470123506176"
"4","0.5010250512525626","0.5010250512525626","0.5010250512525626","0.7052852642632131","0.7052852642632131","0.7052852642632131","0.5024751237561877","0.5024751237561877","0.5024751237561877","0.5010250512525626","0.5010250512525626","0.5010250512525626","0.5010250512525626","0.5010250512525626","0.5010250512525626"
"5","0.49897494874743736","0.49897494874743736","0.49897494874743736","0.7294364718235912","0.7294364718235912","0.7294364718235912","0.6190809540477024","0.6190809540477024","0.6190809540477024","0.49897494874743736","0.49897494874743736","0.49897494874743736","0.5014250712535626","0.5014250712535626","0.5014250712535626"
"6","0.49987499374968747","0.49987499374968747","0.49987499374968747","0.7504875243762188","0.7504875243762188","0.7504875243762188","0.728486424321216","0.728486424321216","0.728486424321216","0.5010250512525626","0.5010250512525626","0.5010250512525626","0.5014250712535626","0.5014250712535626","0.5014250712535626"
"7","0.6613330666533327","0.6613330666533327","0.6613330666533327","0.7699884994249713","0.7699884994249713","0.7699884994249713","0.7815390769538476","0.7815390769538476","0.7815390769538476","0.49897494874743736","0.49897494874743736","0.49897494874743736","0.4982249112455623","0.4982249112455623","0.4982249112455623"
"8","0.7406370318515926","0.7406370318515926","0.7406370318515926","0.7871393569678483","0.7871393569678483","0.7871393569678483","0.8358917945897294","0.8358917945897294","0.8358917945897294","0.49897494874743736","0.49897494874743736","0.49897494874743736","0.49677483874193706","0.49677483874193706","0.49677483874193706"
"9","0.7782389119455972","0.7782389119455972","0.7782389119455972","0.8108405420271013","0.8108405420271013","0.8108405420271013","0.8661933096654832","0.8661933096654832","0.8661933096654832","0.5002250112505625","0.5002250112505625","0.5002250112505625","0.5007250362518125","0.5007250362518125","0.5007250362518125"
"10","0.8045902295114755","0.8045902295114755","0.8045902295114755","0.8132906645332266","0.8132906645332266","0.8132906645332266","0.8868443422171108","0.8868443422171108","0.8868443422171108","0.5302265113255663","0.5302265113255663","0.5302265113255663","0.49767488374418717","0.49767488374418717","0.49767488374418717"
"11","0.824591229561478","0.824591229561478","0.824591229561478","0.8279913995699785","0.8279913995699785","0.8279913995699785","0.8923946197309865","0.8923946197309865","0.8923946197309865","0.5721286064303215","0.5721286064303215","0.5721286064303215","0.49897494874743736","0.49897494874743736","0.49897494874743736"
"12","0.8334416720836042","0.8334416720836042","0.8334416720836042","0.8266413320666033","0.8266413320666033","0.8266413320666033","0.9065953297664883","0.9065953297664883","0.9065953297664883","0.6117805890294514","0.6117805890294514","0.6117805890294514","0.496174808740437","0.496174808740437","0.496174808740437"
"13","0.8494924746237311","0.8494924746237311","0.8494924746237311","0.840442022101105","0.840442022101105","0.840442022101105","0.911695584779239","0.911695584779239","0.911695584779239","0.6284314215710786","0.6284314215710786","0.6284314215710786","0.5008750437521876","0.5008750437521876","0.5008750437521876"
"14","0.8635431771588579","0.8635431771588579","0.8635431771588579","0.8239411970598529","0.8239411970598529","0.8239411970598529","0.9178958947947397","0.9178958947947397","0.9178958947947397","0.6521826091304564","0.6521826091304564","0.6521826091304564","0.5022751137556878","0.5022751137556878","0.5022751137556878"
"15","0.8710435521776089","0.8710435521776089","0.8710435521776089","0.8357917895894794","0.8357917895894794","0.8357917895894794","0.9250962548127406","0.9250962548127406","0.9250962548127406","0.6630831541577079","0.6630831541577079","0.6630831541577079","0.49592479623981195","0.49592479623981195","0.49592479623981195"
"16","0.8756437821891094","0.8756437821891094","0.8756437821891094","0.8524426221311066","0.8524426221311066","0.8524426221311066","0.9262463123156157","0.9262463123156157","0.9262463123156157","0.6997349867493374","0.6997349867493374","0.6997349867493374","0.49907495374768734","0.49907495374768734","0.49907495374768734"
"17","0.8775438771938596","0.8775438771938596","0.8775438771938596","0.8498424921246062","0.8498424921246062","0.8498424921246062","0.9323466173308665","0.9323466173308665","0.9323466173308665","0.7173358667933396","0.7173358667933396","0.7173358667933396","0.5028251412570628","0.5028251412570628","0.5028251412570628"
"18","0.8847942397119856","0.8847942397119856","0.8847942397119856","0.8541427071353568","0.8541427071353568","0.8541427071353568","0.9353467673383669","0.9353467673383669","0.9353467673383669","0.7372868643432171","0.7372868643432171","0.7372868643432171","0.5058752937646882","0.5058752937646882","0.5058752937646882"
"19","0.888344417220861","0.888344417220861","0.888344417220861","0.8533426671333566","0.8533426671333566","0.8533426671333566","0.9385469273463672","0.9385469273463672","0.9385469273463672","0.7375868793439672","0.7375868793439672","0.7375868793439672","0.5153257662883144","0.5153257662883144","0.5153257662883144"
"20","0.8926446322316115","0.8926446322316115","0.8926446322316115","0.856792839641982","0.856792839641982","0.856792839641982","0.9404470223511175","0.9404470223511175","0.9404470223511175","0.7643882194109706","0.7643882194109706","0.7643882194109706","0.5167758387919396","0.5167758387919396","0.5167758387919396"
"21","0.896244812240612","0.896244812240612","0.896244812240612","0.8544427221361067","0.8544427221361067","0.8544427221361067","0.9426971348567428","0.9426971348567428","0.9426971348567428","0.7794889744487224","0.7794889744487224","0.7794889744487224","0.5257762888144407","0.5257762888144407","0.5257762888144407"
"22","0.8992949647482373","0.8992949647482373","0.8992949647482373","0.8595429771488574","0.8595429771488574","0.8595429771488574","0.9432471623581179","0.9432471623581179","0.9432471623581179","0.7896394819740987","0.7896394819740987","0.7896394819740987","0.5431771588579428","0.5431771588579428","0.5431771588579428"
"23","0.9002450122506125","0.9002450122506125","0.9002450122506125","0.8593429671483573","0.8593429671483573","0.8593429671483573","0.9463973198659933","0.9463973198659933","0.9463973198659933","0.8013400670033501","0.8013400670033501","0.8013400670033501","0.5769788489424471","0.5769788489424471","0.5769788489424471"
"24","0.904595229761488","0.904595229761488","0.904595229761488","0.8573428671433572","0.8573428671433572","0.8573428671433572","0.9466973348667433","0.9466973348667433","0.9466973348667433","0.8074903745187259","0.8074903745187259","0.8074903745187259","0.5966798339916995","0.5966798339916995","0.5966798339916995"
"25","0.904845242262113","0.904845242262113","0.904845242262113","0.8548427421371069","0.8548427421371069","0.8548427421371069","0.9486974348717435","0.9486974348717435","0.9486974348717435","0.8135406770338517","0.8135406770338517","0.8135406770338517","0.6118305915295764","0.6118305915295764","0.6118305915295764"
"26","0.9071453572678634","0.9071453572678634","0.9071453572678634","0.8604930246512326","0.8604930246512326","0.8604930246512326","0.9498974948747437","0.9498974948747437","0.9498974948747437","0.8249412470623531","0.8249412470623531","0.8249412470623531","0.6337316865843292","0.6337316865843292","0.6337316865843292"
"27","0.9078953947697385","0.9078953947697385","0.9078953947697385","0.8610430521526076","0.8610430521526076","0.8610430521526076","0.9527476373818691","0.9527476373818691","0.9527476373818691","0.8262913145657282","0.8262913145657282","0.8262913145657282","0.6511825591279564","0.6511825591279564","0.6511825591279564"
"28","0.9098954947747387","0.9098954947747387","0.9098954947747387","0.855892794639732","0.855892794639732","0.855892794639732","0.952097604880244","0.952097604880244","0.952097604880244","0.832091604580229","0.832091604580229","0.832091604580229","0.6669833491674584","0.6669833491674584","0.6669833491674584"
"29","0.9110455522776139","0.9110455522776139","0.9110455522776139","0.856542827141357","0.856542827141357","0.856542827141357","0.9513475673783689","0.9513475673783689","0.9513475673783689","0.8385419270963548","0.8385419270963548","0.8385419270963548","0.6793839691984599","0.6793839691984599","0.6793839691984599"
"30","0.9114955747787389","0.9114955747787389","0.9114955747787389","0.8576928846442322","0.8576928846442322","0.8576928846442322","0.9545477273863693","0.9545477273863693","0.9545477273863693","0.8421921096054802","0.8421921096054802","0.8421921096054802","0.6830341517075853","0.6830341517075853","0.6830341517075853"
"31","0.9134456722836142","0.9134456722836142","0.9134456722836142","0.8570428521426071","0.8570428521426071","0.8570428521426071","0.9556477823891194","0.9556477823891194","0.9556477823891194","0.8444922246112305","0.8444922246112305","0.8444922246112305","0.696134806740337","0.696134806740337","0.696134806740337"
"32","0.9140957047852393","0.9140957047852393","0.9140957047852393","0.8548927446372319","0.8548927446372319","0.8548927446372319","0.9552477623881194","0.9552477623881194","0.9552477623881194","0.8473923696184809","0.8473923696184809","0.8473923696184809","0.6999349967498375","0.6999349967498375","0.6999349967498375"
"33","0.9143457172858642","0.9143457172858642","0.9143457172858642","0.8554927746387319","0.8554927746387319","0.8554927746387319","0.9560978048902444","0.9560978048902444","0.9560978048902444","0.8512925646282313","0.8512925646282313","0.8512925646282313","0.7013850692534627","0.7013850692534627","0.7013850692534627"
"34","0.9157457872893644","0.9157457872893644","0.9157457872893644","0.8578928946447322","0.8578928946447322","0.8578928946447322","0.9560978048902444","0.9560978048902444","0.9560978048902444","0.848842442122106","0.848842442122106","0.848842442122106","0.7096854842742136","0.7096854842742136","0.7096854842742136"
"35","0.9157957897894894","0.9157957897894894","0.9157957897894894","0.8578428921446072","0.8578428921446072","0.8578428921446072","0.9559477973898695","0.9559477973898695","0.9559477973898695","0.8542927146357318","0.8542927146357318","0.8542927146357318","0.7160358017900895","0.7160358017900895","0.7160358017900895"
"36","0.9166958347917395","0.9166958347917395","0.9166958347917395","0.8588929446472323","0.8588929446472323","0.8588929446472323","0.9566478323916195","0.9566478323916195","0.9566478323916195","0.856342817140857","0.856342817140857","0.856342817140857","0.7220361018050903","0.7220361018050903","0.7220361018050903"
"37","0.9175458772938646","0.9175458772938646","0.9175458772938646","0.8601430071503575","0.8601430071503575","0.8601430071503575","0.9561478073903695","0.9561478073903695","0.9561478073903695","0.8582929146457322","0.8582929146457322","0.8582929146457322","0.7235861793089654","0.7235861793089654","0.7235861793089654"
"38","0.9177958897944897","0.9177958897944897","0.9177958897944897","0.8597429871493575","0.8597429871493575","0.8597429871493575","0.9576478823941197","0.9576478823941197","0.9576478823941197","0.8575428771438571","0.8575428771438571","0.8575428771438571","0.7264363218160907","0.7264363218160907","0.7264363218160907"
"39","0.9175458772938646","0.9175458772938646","0.9175458772938646","0.8579428971448572","0.8579428971448572","0.8579428971448572","0.9571978598929947","0.9571978598929947","0.9571978598929947","0.8585429271463573","0.8585429271463573","0.8585429271463573","0.7315865793289664","0.7315865793289664","0.7315865793289664"
"40","0.9174458722936146","0.9174458722936146","0.9174458722936146","0.8577428871443572","0.8577428871443572","0.8577428871443572","0.9571478573928696","0.9571478573928696","0.9571478573928696","0.8601930096504825","0.8601930096504825","0.8601930096504825","0.7321366068303415","0.7321366068303415","0.7321366068303415"
"41","0.9180959047952397","0.9180959047952397","0.9180959047952397","0.8577428871443572","0.8577428871443572","0.8577428871443572","0.9579478973948697","0.9579478973948697","0.9579478973948697","0.8613930696534826","0.8613930696534826","0.8613930696534826","0.7383869193459672","0.7383869193459672","0.7383869193459672"
"42","0.9178958947947397","0.9178958947947397","0.9178958947947397","0.856292814640732","0.856292814640732","0.856292814640732","0.9575978798939947","0.9575978798939947","0.9575978798939947","0.8625931296564828","0.8625931296564828","0.8625931296564828","0.736136806840342","0.736136806840342","0.736136806840342"
"43","0.9180959047952397","0.9180959047952397","0.9180959047952397","0.8589929496474823","0.8589929496474823","0.8589929496474823","0.9582979148957448","0.9582979148957448","0.9582979148957448","0.8621431071553577","0.8621431071553577","0.8621431071553577","0.7385869293464673","0.7385869293464673","0.7385869293464673"
"44","0.9183459172958648","0.9183459172958648","0.9183459172958648","0.8575428771438571","0.8575428771438571","0.8575428771438571","0.9583979198959948","0.9583979198959948","0.9583979198959948","0.8616930846542327","0.8616930846542327","0.8616930846542327","0.7377868893444672","0.7377868893444672","0.7377868893444672"
"45","0.9182459122956147","0.9182459122956147","0.9182459122956147","0.8582429121456072","0.8582429121456072","0.8582429121456072","0.9585979298964948","0.9585979298964948","0.9585979298964948","0.8631431571578578","0.8631431571578578","0.8631431571578578","0.7405370268513425","0.7405370268513425","0.7405370268513425"
"46","0.9181459072953647","0.9181459072953647","0.9181459072953647","0.8572428621431071","0.8572428621431071","0.8572428621431071","0.9584979248962447","0.9584979248962447","0.9584979248962447","0.8628431421571078","0.8628431421571078","0.8628431421571078","0.7406370318515926","0.7406370318515926","0.7406370318515926"
"47","0.9180459022951147","0.9180459022951147","0.9180459022951147","0.8566428321416071","0.8566428321416071","0.8566428321416071","0.9584479223961198","0.9584479223961198","0.9584479223961198","0.8626931346567328","0.8626931346567328","0.8626931346567328","0.7405370268513425","0.7405370268513425","0.7405370268513425"
"48","0.9182959147957398","0.9182959147957398","0.9182959147957398","0.8571428571428571","0.8571428571428571","0.8571428571428571","0.9584479223961198","0.9584479223961198","0.9584479223961198","0.8629931496574829","0.8629931496574829","0.8629931496574829","0.7402870143507175","0.7402870143507175","0.7402870143507175"
"49","0.9183959197959898","0.9183959197959898","0.9183959197959898","0.856892844642232","0.856892844642232","0.856892844642232","0.9586479323966198","0.9586479323966198","0.9586479323966198","0.8625931296564828","0.8625931296564828","0.8625931296564828","0.7404370218510925","0.7404370218510925","0.7404370218510925"
