"Step","S4ClassicModel dplr+LN[] - test acc","S4ClassicModel dplr+LN[] - test acc__MIN","S4ClassicModel dplr+LN[] - test acc__MAX","S4ClassicModel diag+LN[] - test acc","S4ClassicModel diag+LN[] - test acc__MIN","S4ClassicModel diag+LN[] - test acc__MAX","MambaModel s6 - test acc","MambaModel s6 - test acc__MIN","MambaModel s6 - test acc__MAX","MambaModel diag - test acc","MambaModel diag - test acc__MIN","MambaModel diag - test acc__MAX","MambaModel dplr - test acc","MambaModel dplr - test acc__MIN","MambaModel dplr - test acc__MAX"
"0","0.5010250512525626","0.5010250512525626","0.5010250512525626","0.6996849842492124","0.6996849842492124","0.6996849842492124","0.5863293164658233","0.5863293164658233","0.5863293164658233","0.6649832491624581","0.6649832491624581","0.6649832491624581","0.6867843392169608","0.6867843392169608","0.6867843392169608"
"1","0.584829241462073","0.584829241462073","0.584829241462073","0.9128956447822391","0.9128956447822391","0.9128956447822391","0.663783189159458","0.663783189159458","0.663783189159458","0.8910445522276114","0.8910445522276114","0.8910445522276114","0.8284414220711035","0.8284414220711035","0.8284414220711035"
"2","0.8400420021001049","0.8400420021001049","0.8400420021001049","0.9341467073353668","0.9341467073353668","0.9341467073353668","0.711885594279714","0.711885594279714","0.711885594279714","0.9248462423121155","0.9248462423121155","0.9248462423121155","0.8704435221761088","0.8704435221761088","0.8704435221761088"
"3","0.9033951697584879","0.9033951697584879","0.9033951697584879","0.9424471223561177","0.9424471223561177","0.9424471223561177","0.7593879693984699","0.7593879693984699","0.7593879693984699","0.9387969398469923","0.9387969398469923","0.9387969398469923","0.872043602180109","0.872043602180109","0.872043602180109"
"4","0.9310465523276164","0.9310465523276164","0.9310465523276164","0.9434471723586179","0.9434471723586179","0.9434471723586179","0.8216910845542277","0.8216910845542277","0.8216910845542277","0.9464473223661183","0.9464473223661183","0.9464473223661183","0.9138956947847392","0.9138956947847392","0.9138956947847392"
"5","0.9421971098554928","0.9421971098554928","0.9421971098554928","0.9484474223711186","0.9484474223711186","0.9484474223711186","0.8517425871293565","0.8517425871293565","0.8517425871293565","0.9538976948847442","0.9538976948847442","0.9538976948847442","0.9253962698134907","0.9253962698134907","0.9253962698134907"
"6","0.9487974398719936","0.9487974398719936","0.9487974398719936","0.9511475573778688","0.9511475573778688","0.9511475573778688","0.8758937946897345","0.8758937946897345","0.8758937946897345","0.9546977348867443","0.9546977348867443","0.9546977348867443","0.9322466123306165","0.9322466123306165","0.9322466123306165"
"7","0.9480474023701184","0.9480474023701184","0.9480474023701184","0.9565478273913696","0.9565478273913696","0.9565478273913696","0.8903945197259863","0.8903945197259863","0.8903945197259863","0.9603480174008701","0.9603480174008701","0.9603480174008701","0.9238961948097405","0.9238961948097405","0.9238961948097405"
"8","0.9527476373818691","0.9527476373818691","0.9527476373818691","0.9615480774038702","0.9615480774038702","0.9615480774038702","0.8976448822441122","0.8976448822441122","0.8976448822441122","0.9614480724036202","0.9614480724036202","0.9614480724036202","0.9399469973498674","0.9399469973498674","0.9399469973498674"
"9","0.9557477873893694","0.9557477873893694","0.9557477873893694","0.9617980899044952","0.9617980899044952","0.9617980899044952","0.9053452672633632","0.9053452672633632","0.9053452672633632","0.9637981899094954","0.9637981899094954","0.9637981899094954","0.9380469023451172","0.9380469023451172","0.9380469023451172"
