"Name","State","Notes","User","Tags","Created","Runtime","Sweep","b","d_model","d_state","data","dropout","lr","model","n_layer","n_params","weight_decay","loss","test acc","train acc","val acc"
"MambaModel_s6_8192_1chrom[]_BIMODULE","finished","-","","","2024-05-10T14:24:39.000Z","1716","","32","104","16","Species_v5","0.15","0.00025","MambaModel_s6_8192_1chrom[]_BIMODULE","6","564101","0.03","0.19081755666564268","0.8836137652397156","0.934479033290653","0.8659855723381042"
"MambaModel_s6_8192_1chrom[]_reg","finished","-","","","2024-05-10T13:48:34.000Z","1026","","32","116","16","Species_v5","0.15","0.00025","MambaModel_s6_8192_1chrom[]","6","586037","0.03","0.2185882918868171","0.8585737347602844","0.9257362355953904","0.848557710647583"
"MambaModel_s6_8192_1chrom[]_pretrained","finished","-","","","2024-05-10T13:20:00.000Z","1038","","32","116","16","Species_v5","0.15","0.00025","MambaModel_s6_8192_1chrom[]_pretrained","6","586037","0.03","0.1970273274767347","0.8491586446762085","0.9318181818181818","0.8379406929016113"
"MambaModel_s6_8192_2mil[]_BIMODULE","finished","-","","","2024-05-10T02:58:21.000Z","1717","","32","104","16","Species_v5","0.15","0.00025","MambaModel_s6_8192_2mil[]_BIMODULE","6","564101","0.03","0.032947686180742466","0.614182710647583","0.9911171574903967","0.590745210647583"
"MambaModel_s6_8192_2mil[]_reg","finished","-","","","2024-05-10T02:22:20.000Z","1022","","32","116","16","Species_v5","0.15","0.00025","MambaModel_s6_8192_2mil[]","6","586037","0.03","0.02217874360054215","0.5915464758872986","0.9932778489116516","0.5602964758872986"
"MambaModel_s6_8192_2mil[]_pretrained","finished","-","","","2024-05-10T01:53:59.000Z","1022","","32","116","16","Species_v5","0.15","0.00025","MambaModel_s6_8192_2mil[]_pretrained","6","586037","0.03","0.0200365249688526","0.6604567170143127","0.9947183098591548","0.6288061141967773"
"MambaModel_s6_8192_10mil[]_BIMODULE","finished","-","","","2024-05-09T23:04:49.000Z","1734","","32","104","16","Species_v5","0.15","0.00025","MambaModel_s6_8192_10mil[]_BIMODULE","6","564101","0.03","0.1268700139174326","0.8723958730697632","0.9562860115236876","0.8495593070983887"
"MambaModel_s6_8192_10mil[]_reg","finished","-","","","2024-05-09T22:28:30.000Z","1028","","32","116","16","Species_v5","0.15","0.00025","MambaModel_s6_8192_10mil[]","6","586037","0.03","0.10591012188686576","0.8231170177459717","0.965088828425096","0.8301281929016113"
"MambaModel_s6_8192_10mil[]_pretrained","finished","-","","","2024-05-09T21:59:56.000Z","1031","","32","116","16","Species_v5","0.15","0.00025","MambaModel_s6_8192_10mil[]_pretrained","6","586037","0.03","0.13122622441219","0.8441506624221802","0.9539452624839948","0.8361378312110901"
"MambaModel_s6_8192_5mil[]_BIMODULE","finished","-","","","2024-05-09T17:06:38.000Z","1715","","32","104","16","Species_v5","0.15","0.00025","MambaModel_s6_8192_5mil[]_BIMODULE","6","564101","0.03","0.10849250315807202","0.6386218070983887","0.9618477912932136","0.6474359035491943"
"MambaModel_s6_8192_5mil[]_reg","finished","-","","","2024-05-09T16:30:39.000Z","1020","","32","116","16","Species_v5","0.15","0.00025","MambaModel_s6_8192_5mil[]","6","586037","0.03","0.10745120760668712","0.6504406929016113","0.9629081306017926","0.6043670177459717"
"MambaModel_s6_8192_5mil[]_pretrained","finished","-","","","2024-05-09T16:02:20.000Z","1021","","32","116","16","Species_v5","0.15","0.00025","MambaModel_s6_8192_5mil[]_pretrained","6","586037","0.03","0.07225171529563328","0.7083333134651184","0.97485195262484","0.6919070482254028"
